tunnel,category,ring,n,density,k_gt,k_off,k_off_sectors,acc
2-2,regular,135,31472,1435.6775763806957,7.589167452155054,0.014097281543838491,0.00489593206287608,0.757174097380283
2-2,regular,136,56429,2609.3430393161498,9.735316410884112,0.06583767373833105,0.022865172749674804,0.8083474424093171
2-2,regular,137,111837,5203.167603814388,7.607582303771196,0.15431195429043498,0.05359195262903833,0.7936457798660191
2-2,regular,138,249455,11731.896047924109,9.723493962324568,0.05888069458869438,0.020449040449731237,0.8223005011132285
2-2,regular,139,442881,20916.578406004184,7.693279964611296,0.07367338023067305,0.025586483701140538,0.8310991229920738
2-2,regular,140,505999,27325.67859293912,9.63701535089641,0.03763007436977084,0.01306878117333876,0.8710052192671857
2-2,regular,141,292315,13766.91838862058,7.62564444966468,0.00820164047709504,0.0028483984273934226,0.8713214804777568
2-2,regular,142,138901,6539.388159926871,9.728976049633587,0.0982722822561346,0.034129588466657756,0.8308509692335052
2-2,regular,143,67313,3156.5578073668585,7.59366665423787,0.16688980591140634,0.05796019248022626,0.8026104587310974
2-2,regular,144,37118,1719.65351262282,9.740874498257375,0.12058004071524664,0.04187698781817297,0.7977219915431794
2-3,regular,215,32866,1562.4608786202311,7.578639508129149,0.04837156563619871,0.016797171510295077,0.7712009857853276
2-3,regular,216,59334,2829.6721785089717,9.700362607375952,0.15074773297333444,0.052347603230075056,0.7620794956410383
2-3,regular,217,120194,5634.613504089943,7.594846106063284,0.13065917646110492,0.04537179162066833,0.7896455103981903
2-3,regular,218,262810,12407.612574627705,9.662618995495244,0.012485262246931583,0.004335544829993693,0.7970352456446773
2-3,regular,219,462501,24002.24852497557,7.681219859991039,0.018878588482138525,0.006555646575339627,0.821166738835053
2-3,regular,220,483677,25271.74972997856,9.610680707394708,0.10649809445805403,0.03698178329776546,0.7870065854854311
2-3,regular,221,279318,13169.346519488148,7.610895377193796,0.058863362814919995,0.020440479605543672,0.8305866919662204
2-3,regular,222,132742,6335.847142659339,9.700472714218908,0.026317416170551056,0.0091388018417528,0.8388968997837059
2-3,regular,223,66007,3137.9147606468555,7.580845126283214,0.17410230347015698,0.06045754800909697,0.7988085691373582
2-3,regular,224,34982,1669.8491245505536,9.709348822735492,0.07233167236124771,0.02511739056403688,0.7901569544164301
2-4,regular,296,45691,2168.6877582247275,9.702884641484019,0.09051171546755654,0.0314316785473168,0.8274883960804539
2-4,regular,297,86092,4036.7642482946644,7.557254746245076,0.3765345581096877,0.13075780446015212,0.6731334001312925
2-4,regular,298,187396,8786.292166441865,9.688091087506207,0.013621124071599766,0.004730158864629028,0.8287197378337412
2-4,regular,299,365511,17067.78215376021,7.635099507724975,0.018674191788553784,0.006484919553194844,0.8058979109330451
2-4,regular,300,557155,30767.093190630523,9.585546993377209,0.04286362268298838,0.014885096394268339,0.8402063369763906
2-4,regular,301,343530,15995.416330871787,7.620671530370869,0.11793571093678779,0.04095511101812134,0.7552735788801362
2-4,regular,302,184783,8537.155121469801,9.702283175067471,0.07079971711859656,0.024586363634996583,0.8173533204101503
2-4,regular,303,85974,4024.3711540768973,7.579946321402434,0.013325808292044883,0.004627605613870605,0.8240602033802717
2-4,regular,304,45289,2113.2920722545537,9.729323404738318,0.020768458255384203,0.007212187951962888,0.8079090492104056
2-4,regular,305,26129,1225.2512723948576,7.569627502146174,1.1979231391408618,0.4159984686994984,0.44502705416411
2-5,regular,353,13220,592.4895516160686,7.635312400005554,0.1695317262615319,0.05888328305564628,0.5660480349344978
2-5,regular,354,20301,920.3790272388385,9.772268326961385,0.16883613389876473,0.05864168366365414,0.7147038327526133
2-5,regular,355,33798,1550.6030845753157,7.610013964530389,0.009315641368255356,0.003235592296663443,0.7788974017321786
2-5,regular,356,60704,2797.1911829516866,9.766818386131863,0.040280273079078555,0.013990506518025704,0.8092672157998433
2-5,regular,357,123233,5727.296610693561,7.632936595166263,0.10614456001309769,0.03686708269829298,0.8347975249647737
2-5,regular,358,275183,12749.079094469613,9.731210473552146,0.020120196373445864,0.006988327461286686,0.8358671466349794
2-5,regular,359,490615,24115.178397507698,7.726537280910169,0.16670774529727872,0.05790243260287998,0.8191558553607884
2-5,regular,360,453514,23771.48701576677,9.685012782886618,0.04124500603985837,0.014325586241776498,0.8465166167256878
2-5,regular,361,273246,12667.444335930239,7.646359800038448,0.15340053128902476,0.05328045141735672,0.8191014578994347
2-5,regular,362,127337,5841.487597161677,9.763263058415989,0.00029593149801598884,0.00010278558796643872,0.8362995553584558
3-1-1,regular,26,255951,10701.512976158008,9.252531402863944,0.07092142650864197,0.023354544847667923,0.02817089042148735
3-1-1,regular,27,289471,12583.715472463522,9.12519259922463,2.0853589866662263,0.6867122162531399,0.24218549436541167
3-1-1,regular,28,304864,13423.069932487007,8.992828013553849,1.9362821967629689,0.6376209789933007,0.40029227254010674
3-1-1,regular,29,349172,15494.72663604204,8.9804135209479,1.9636093718069034,0.6466198636258014,0.40115529216615453
3-1-1,regular,30,421136,18879.334354599974,8.968214211285364,1.9793258676918484,0.6517953321134298,0.40501331146339115
