ring_key,section,split,pattern_type_readout,plus_miou,minus_miou,oracle_miou,minus_better,plus_minus_gap,det_k_confidence,det_pos_count,det_neg_count,det_line_diff_pos_minus_neg,det_abs_line_diff,det_horizontal_count,det_selected_pos_count,det_selected_neg_count,det_k_y_rel,det_type_pair,det_type_single,det_type_default,pre_valid_ratio,pre_empty_row_band_ratio,det_y_coverage_pct,det_min_y_gap_px,det_k_x_spacing_cv,seg_mask_coverage_pct,seg_ring_completeness_avg,seg_k_size_ratio,seg_block_size_variance_ratio,health_score_diff_plus_minus,k_width_rank_norm,k_width_ratio,width_cv,z_score_plus,z_score_minus,z_score_diff_plus_minus,k_z_rel,k_intensity_rel,k_r_rel
4-1/r119,4-1,within_section,reversed_canonical,0.08086238815180499,0.2563168414817519,0.2563168414817519,1,-0.17545445332994689,0.55,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.37749363327674024,0,0,0,0.002308998302207131,0.07470288624787776,100.0,248.0,0.0,6.415620993231122,1.0,3.6904574752397425,6.798722044728435,0.0,0.0,0.3333333333333333,0.2578410622384343,0.79769379843491,0.39331217599617824,0.4043816224387317,0.0,-0.6047083245617523,-1.3643270772800171
4-7/r305,4-7,within_section,canonical,0.39214149498139506,0.07136575887994305,0.39214149498139506,0,0.320775736101452,0.65,1.0,0.0,1.0,1.0,3.0,1.0,0.0,0.1851655348047538,0,1,0,0.00873814568765091,0.27164685908319186,100.0,248.0,1.414213562373095,28.805565925853614,1.0,0.2958444389488821,58916.0,0.0,0.0,0.3333333333333333,0.2578410989207394,0.6799879607413195,0.5448380948010696,0.1351498659402499,0.5326220124085295,-0.016356095468865278,-0.16428650945378948
4-7/r308,4-7,within_section,canonical,0.8111550169384385,0.1733618380774769,0.8111550169384385,0,0.6377931788609617,0.65,0.0,5.0,-5.0,5.0,12.0,0.0,1.0,0.8827461799660441,0,1,0,0.002386530843237125,0.07364176570458404,100.0,248.0,1.4142135623730951,6.465654114992099,1.0,7.597934542066234,3.5742602700373456,0.0,0.0,0.3333333333333333,0.2578410989207394,0.9878287927980611,0.7361766988154452,0.2516520939826159,1.0,0.8022191378752972,-1.1371769172708366
4-7/r303,4-7,within_section,canonical,0.5567274344579161,0.12221788619286922,0.5567274344579161,0,0.43450954826504684,0.9,5.0,3.0,2.0,2.0,15.0,1.0,1.0,0.3329737869857236,1,0,0,0.005839015462694197,0.07173174872665534,100.0,248.0,1.0,18.861450069096037,1.0,6.186819449860515,3.461090909090909,0.0,0.0,0.3333333333333333,0.2578410989207394,0.9531195368628507,0.06473179258176708,0.8883877442810836,0.08543726934248326,-0.16366283374279442,0.3379437529320002
4-8/r334,4-8,within_section,reversed_canonical,0.1334283523531297,0.5984892915381694,0.5984892915381694,1,-0.46506093918503977,0.9,6.0,2.0,4.0,4.0,1.0,1.0,1.0,0.21886358834301126,1,0,0,0.011832183097038785,0.07130730050933787,100.0,248.0,0.7071067811865476,47.78501197657612,1.0,3.9569022134653955,6.8344697649380945,0.0,0.0,0.3333333333333333,0.25784109892073936,0.9040053536331223,0.1913222354643014,0.7126831181688209,0.36537989153820516,0.5654656524785592,0.4514198172305637
4-8/r335,4-8,within_section,reversed_canonical,0.17834145922608874,0.08224110021430289,0.17834145922608874,0,0.09610035901178585,0.55,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.12415110356536503,0,0,0,0.0116293075758271,0.22113752122241087,100.0,248.0,0.0,39.20463447655243,1.0,5.207660856466537,109418.0,0.0,0.0,0.3333333333333333,0.2578410989207394,0.31030523855662984,0.8299203731379133,-0.5196151345812835,0.6747609388444001,-0.61213163822596,0.2562627985614007
4-8/r332,4-8,within_section,reversed_canonical,0.598982559952365,0.1316262560679743,0.598982559952365,0,0.46735630388439076,0.9,4.0,3.0,1.0,1.0,6.0,1.0,1.0,0.3382011189578108,1,0,0,0.0034002245168712367,0.07215619694397284,100.0,248.0,1.0,7.565547109457832,1.0,4.849260003654303,5.244536548605878,0.0,0.0,0.3333333333333333,0.2578410989207394,0.954050787615719,0.06394114900314452,0.8901096386125745,0.08695070326397698,1.6187052315255306,0.31745426340380395
4-9/r360,4-9,within_section,canonical,0.2118338487609162,0.0719472710453284,0.2118338487609162,0,0.13988657771558782,0.2,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.5,0,0,1,0.0010645252081385107,0.07258064516129033,100.0,248.0,0.0,2.5124125645895536,1.0,3.3746787350541956,7.837748344370861,0.0,0.0,0.3333333333333333,0.2578410989207394,0.31402937030303757,0.8460636157691834,-0.5320342454661459,0.0,-0.24483278683538556,-0.049838841546924965
4-9/r367,4-9,within_section,canonical,0.09494603114440062,0.4124645781546602,0.4124645781546602,1,-0.3175185470102596,0.65,0.0,5.0,-5.0,5.0,3.0,0.0,1.0,0.20055178268251272,0,1,0,0.0043787802419354835,0.0715195246179966,100.0,248.0,1.414213562373095,17.198391106686394,1.0,5.426294437406796,3.601359338061466,0.0,0.0,0.3333333333333333,0.2578410989207394,0.8157946708198374,0.35904075730266916,0.4567539135171682,0.4579924358010782,0.2865184477563984,1.3951962140965215
4-9/r363,4-9,within_section,canonical,0.10767981565475285,0.3713013303790782,0.3713013303790782,1,-0.2636215147243254,0.65,0.0,3.0,-3.0,3.0,12.0,0.0,1.0,0.35674872665534807,0,1,0,0.004360240777897824,0.07088285229202038,100.0,248.0,1.414213562373095,16.031507918343035,1.0,3.503822899555357,5.632302405498282,0.0,0.0,0.3333333333333333,0.2578410989207394,0.9130134160386222,0.17922658136730812,0.7337868346713141,0.044312388802461855,-0.411780337259576,-0.6606561276576789
